Aliases,Laboratory,Name,Type,Alcohol Tolerance,Flocculation,Attenuation,Minimum Temp F,Maximum Temp F
German Bock Lager Yeast,White Labs,WLP833,Lager,Med-High,Medium,73,48,55
German Bock,Omega Yeast Labs,OLY-111,Lagers,10% ABV,Medium,70,48,55
German Kolsch,Siebel Institute,BRY 401,Ale,n/a,Low,72,55,59
German Lager I,Omega Yeast Labs,OYL-106,Lagers,9% ABV,Medium-low,73,45,68
German Lager X Yeast,White Labs,WLP835,Lager,Med-High,Medium,73,50,54
German Lager Yeast,GigaYeast,GY045,Lager,,Med-Low,76,50,60
German Lager Yeast,White Labs,WLP830,Lager,Medium,Medium,76.5,50,55
German Monk Lager,Inland Island Yeast,INIS-711,Lager,Medium,Medium,73,50,54
German Wheat,Wyeast,3333,Wheat,0.1,High,73,63,75
Gervin Ale (by Muntons),-,GV-12,Ale,n/a,High,77,57,70
Golden Gate Lager Yeast,GigaYeast,GY005,Lager,,Medium,81,55,70
Golden Pear Belgian Ale Yeast,GigaYeast,GY048,Ale,,Low,84,65,80
Hefeweizen Ale,Omega Yeast Labs,OYL-021,Ale,10% ABV,Low,73,65,75
Hefeweizen Ale Yeast,White Labs,WLP300,Wheat,Medium,Low,74,68,72
Hefeweizen IV Ale Yeast,White Labs,WLP380,Wheat,Medium,Low,76.5,66,70
Hella Bock,Wyeast,2487,Ale,0.12,Medium,72,48,56
Hessian Pils,The Yeast Bay,,Lager,n/a,Medium,73.5,43,49
HotHead Ale,Omega Yeast Labs,OYL-057,Ale,11% ABV,Medium High,75,62,98
HP Lager Yeast,White Labs,WLP925,Lager,Medium,Medium,77.5,62,68
Irish Ale,Wyeast,1084,Ale,0.1,Medium,73,62,72
Irish Ale,Omega Yeast Labs,OYL-005,Ale,12% ABV,Medium,69,62,72
Irish Ale Yeast,White Labs,WLP004,Ale,Med-High,Med-High,71.5,65,68
Klassic Ale Yeast,White Labs,WLP033,Ale,Medium,Medium,70,66,70
Kolsch,Wyeast,2565,Ale,0.1,Low,75,56,70
Kolsch Bier Yeast,GigaYeast,GY021,Ale,,Med-High,81,60,72
Kolsch II,Wyeast,2575,Ale,0.1,Low,75,55,70
Kolschbier,East Coast Yeast,ECY21,Ale,n/a,High,77,58,66
L02 Fest,Imperial Yeast,L02 Fest,Lagers,,Medium High,71,46,56
L05 Cablecar,Imperial Yeast,L05 Cablecar,Lagers,,Medium High,71,55,65
L09 Que Bueno,Imperial Yeast,L09 Que Bueno,Lagers,,Medium,73,47,55
L11 Gateway,Imperial Yeast,L11 Gateway,Lagers,,Medium,72,47,55
L13 Global,Imperial Yeast,L13 Global,Lagers,,Medium-low,73,46,56
L17 Harvest,Imperial Yeast,L17 Harvest,Lagers,,Medium,70,50,60
L28 Urkel,Imperial Yeast,L28 Urkel,Lagers,,Medium,73,52,58
Lactobacillus,Wyeast,5335,Ale,0.09,-,75,60,95
Lactobacillus Blend,Omega Yeast Labs,OYL-605,Bacterial Cultures,,N/A,0,68,95
Leeuwenhoek Saison Yeast Blend,White Labs,WLP564,Ale,High,Low,79,66,75
Leuven Pale Ale,Wyeast,3538,Ale,0.12,High,76,65,80
Liberty Bell Ale,Mangrove Jack,M36,Ale,n/a,Med-High,76,62,74
Lochristi Brettanomyces Blend,The Yeast Bay,,Ale,n/a,Med/Low,80,66,72
London Ale,Wyeast,1028,Ale,0.1,Med-Low,75,60,72
London Ale III,Wyeast,1318,Ale,0.1,High,73,64,74
London Ale Yeast,White Labs,WLP013,Ale,Medium,Medium,71,66,71
London ESB Ale,Wyeast,1968,Ale,0.1,Very High,69,64,72
London ESB Yeast,Danstar,,Ale,Med-High,Low,70,65,72
London Fog Ale Yeast,White Labs,WLP066,Ale,Med-High,Med-Low,67.5,64,72
Lucky No. 7,Real Brewers,,Ale,0.1,High,75,68,75
Manchester Ale Yeast,White Labs,WLP038,Ale,Med-High,Med-High,72,65,70
Mead,Mangrove Jack,M05,Mead,n/a,Med-High,97.5,59,86
Melange - Sour Blend,The Yeast Bay,,Ale,n/a,Med/Low,85,68,78
Mexican Lager Yeast,White Labs,WLP940,Lager,Medium,Medium,74,50,55
Munich Classic Wheat Beer Yeast,Danstar,,Wheat,0.09,Low,75,63,72
Munich Dry Wheat Yeast,Danstar,,Wheat,Medium,Medium,75,64,70
Munich Festbier,East Coast Yeast,ECY15,Lager,n/a,Medium,75,46,54
Munich Helles Yeast,White Labs,WLP860,Lager,Medium,Medium,70,48,52
Munich Lager,Wyeast,2308,Lager,0.09,Medium,72,48,56
Munich Lager II,Wyeast,2352,Lager,0.1,Medium,73,52,62
Munton and Fison,-,,Ale,Medium,High,72,64,70
Muntons Premium Gold,-,,Ale,n/a,High,78,57,77
NB NeoBritannia,Wyeast,1945,Ale,0.1,Med-High,74,66,74
Neutral Grain Yeast,White Labs,WLP078,Ale,High,Medium,81,76,85
New World Strong Ale,Mangrove Jack,M42,Ale,n/a,High,79.5,61,72
Newcastle Dark Ale Yeast,Mangrove Jack,M03,Ale,n/a,Medium,73,64,72
NorCal Ale #1,GigaYeast,GY001,Ale,,Medium,78,64,77
NorCal Ale #5,GigaYeast,GY029,Ale,,Med-High,71,67,75
North American Lager,Wyeast,2272,Lager,0.09,High,73,52,58
North European Lager,Siebel Institute,BRY 203,Lager,n/a,Low,78,68,72
Northeast Ale,East Coast Yeast,ECY29,Ale,n/a,High,81,65,70
NortheasternAbbey,The Yeast Bay,,Ale,n/a,Med/Low,79,68,73
Northern California Ale Yeast,Inland Island Yeast,INIS-001,Ale,High,Medium,75,60,72
Northwest Ale,Wyeast,1332,Ale,0.1,High,69,65,75
Nottingham Ale Yeast,Danstar,,Ale,Med-High,High,77,57,70
Octoberfest Lager Blend,Wyeast,2633,Lager,0.09,Med-Low,75,48,58
Oktoberfest/Marzen Lager Yeast,White Labs,WLP820,Lager,Med-High,Medium,69,52,58
Old Bavarian Lager Yeast,White Labs,WLP920,Lager,Medium-High,Medium,69.5,50,55
Old Newark Ale,East Coast Yeast,ECY10,Ale,n/a,High,72,60,68
Old Newark Beer,East Coast Yeast,ECY12,Ale,n/a,Medium,72,58,68
Old Sonoma Ale,White Labs,WLP076,Ale,Medium,Medium,72,66,70
Oud Brune,East Coast Yeast,ECY23,Ale,n/a,n/a,77,68,74
Pacific Ale Yeast,White Labs,WLP041,Ale,Medium,High,67.5,65,68
Pediococcus,Wyeast,5733,Ale,0.09,-,75,60,95
Pilsen Lager,Wyeast,2007,Lager,0.09,Medium,73,48,56
Pilsner Lager Yeast,White Labs,WLP800,Lager,Medium,Med-High,74.5,50,55
Portland Hefe Yeast,GigaYeast,GY020,Ale,,Low,78,64,74
Premium Bitter Ale Yeast,White Labs,WLP026,Ale,Medium,Medium,72.5,67,60
Private Collection West Coast IPA,Wyeast,1217,Ale,10% ABV,Medium-High,75,62,74
Rasenmaher Lager,Wyeast,2252,Lager,0.09,Low,75,48,68
Ringwood Ale,Wyeast,1187,Ale,0.1,High,70,64,74
Rocky Mountain Lager,Wyeast,2105,Lager,0.1,Med/High,72,48,56
